image_name,weight_g,length_cm,width_cm,height_cm
images/B00ESJGNBO_51w+0e-eqdL.jpg,50,15,6,3
images/B00I8T4J5C_71zCr79SJ6L.jpg,50,12,12,3
images/B011J4C3ZK_A1qfSAvfHfL.jpg,100,20,20,3
images/B01F2O1E9E_519-j+a-thL.jpg,100,15,6.6,12
images/B01I48LRIS_91jzdnEZGHL.jpg,50,15,8,2
images/B073Q8LMLT_915ZLS2xIIL.jpg,500,30,30,2
images/B07765Z6S4_71ASEq6croL.jpg,100,15,6.6,3
images/B07F2861LP_51-5lkyRS-L.jpg,500,25,10,30
images/B07H9GMYXS_81NP7qh2L6L.jpg,100,15,6.6,3
images/B07NJQH1WZ_71PRBUZ1A5L.jpg,500,25,10,30
images/B07P74YVHN_51uFxqiZgOL.jpg,100,15,10,3
images/B07QH7KW7G_81VsfQKePwL.jpg,100,30,15,5
images/B07SL5S5PT_81zgkM3b1aL.jpg,150,20,15,25
images/B07T3G8442_71MlGVy5AHL.jpg,500,20,8,30
images/B003ES61EE_71y0rBp5o8L.jpg,50,15,2,1
images/B00B3P15M8_81rDMTvoeIL.jpg,100,15,2.5,0.5
images/B00EHZYWGM_91k3rJ5LGKL.jpg,150,15,6,3
images/B00Q3OHI4I_71uTL6X0zfL.jpg,100,15,6.6,3
images/B01F2O1CFK_51EOx4I8JBL.jpg,100,15,6.6,3
images/B01HTF8Y5Q_71bQV-GmAVL.jpg,10,15,5,3
images/B01M63YJ54_71hoeZHrwrL.jpg,50,12,6,3
images/B071SKHZX4_61bcD0XICoL.jpg,50,10,5,3
images/B073P3562J_71rQhj8r29L.jpg,150,30,15,20
images/B074MHLX1C_81NCJq59i3L.jpg,227,12,6.6,10
images/B074STYDNN_817uZAPveeL.jpg,50,15,7.5,1
images/B076VSDNKV_91nboUQK2ML.jpg,100,120,40,5
images/B078JFFX4S_91Ru1D-Pz2L.jpg,500,30,20,30
images/B07B4SC1NR_81i7pGRsnZL.jpg,150,30,15,40
images/B07CBMG3SB_41zv1Ke22xL.jpg,100,25,20,3
